HDC GXHDC
GXUINT GXUINT
GXLPARAM GXLPARAM
GXLPWSTR GXLPWSTR
GXLONG GXLONG
GXINT GXINT
GXBOOL GXBOOL
GXDWORD GXDWORD
WNDPROC GXWNDPROC
GXWPARAM GXWPARAM
GXWCHAR GXWCHAR
GXBYTE  GXBYTE
DWORD_PTR GXDWORD_PTR
INT_PTR GXINT_PTR
HINSTANCE GXHINSTANCE
HRGN GXHRGN
HFONT GXHFONT
NMHDR GXNMHDR
LPNMHDR GXLPNMHDR
HPEN GXHPEN
LPMSG GXLPMSG
SIZE  GXSIZE
LPSIZE  GXLPSIZE
RECT GXRECT
LPRECT LPGXRECT
GXVOID GXVOID
SCROLLINFO GXSCROLLINFO
GXLRESULT GXLRESULT
HWND GXHWND
HWND_TOP GXHWND_TOP
HBRUSH  GXHBRUSH
GXCOLORREF GXCOLORREF
POINT GXPOINT
HIMAGELIST GXHIMAGELIST
SIZE GXSIZE
HCURSOR GXHCURSOR 
HFONT GXHFONT 
MSG GXMSG
DPA GXDPA
HDPA GXHDPA
LPPOINT LPGXPOINT
IMAGELISTDRAWPARAMS  GXIMAGELISTDRAWPARAMS
NMTVCUSTOMDRAW  GXNMTVCUSTOMDRAW
NMTREEVIEWW    GXNMTREEVIEWW
NMCUSTOMDRAW  GXNMCUSTOMDRAW
LPNMCUSTOMDRAW  GXLPNMCUSTOMDRAW
CREATESTRUCTW  GXCREATESTRUCTW
LPCREATESTRUCTW  GXLPCREATESTRUCTW
PFNDPACOMPARE  GXPFNDPACOMPARE
DRAGLISTINFO GXDRAGLISTINFO
HTHEME GXHTHEME
HBITMAP  GXHBITMAP
ILC_COLOR GXILC_COLOR
ILC_MASK GXILC_MASK
StretchDIBits  gxStretchDIBits
GetDCEx  gxGetDCEx
GetDC gxGetDC
CreatePatternBrush  gxCreatePatternBrush
CreateBitmap  gxCreateBitmap
DRAWITEMSTRUCT GXDRAWITEMSTRUCT
ICONINFO  GXICONINFO
HICON  GXHICON
SendMessageW  gxSendMessageW
SendMessage  gxSendMessage
GetWindowLongPtrW gxGetWindowLongPtrW
GetScrollPos gxGetScrollPos
SetScrollInfo gxSetScrollInfo
ScrollWindowEx gxScrollWindowEx
CallWindowProcW gxCallWindowProcW
GetTextExtentPoint32A gxGetTextExtentPoint32A
ImageList_Add      gxImageList_Add               
ImageList_AddMasked    gxImageList_AddMasked         
ImageList_BeginDrag    gxImageList_BeginDrag         
ImageList_Create    gxImageList_Create            
ImageList_Destroy    gxImageList_Destroy           
ImageList_DragEnter    gxImageList_DragEnter         
ImageList_DragLeave    gxImageList_DragLeave         
ImageList_DragMove    gxImageList_DragMove          
ImageList_DragShowNolock  gxImageList_DragShowNolock    
ImageList_Draw      gxImageList_Draw              
ImageList_DrawEx    gxImageList_DrawEx            
ImageList_EndDrag    gxImageList_EndDrag           
ImageList_ExtractIcon    gxImageList_ExtractIcon       
ImageList_GetBkColor    gxImageList_GetBkColor        
ImageList_GetDragImage    gxImageList_GetDragImage      
ImageList_GetIcon    gxImageList_GetIcon           
ImageList_GetIconSize    gxImageList_GetIconSize       
ImageList_GetImageCount    gxImageList_GetImageCount     
ImageList_GetImageInfo    gxImageList_GetImageInfo      
ImageList_LoadBitmap    gxImageList_LoadBitmap        
ImageList_LoadImage    gxImageList_LoadImage         
ImageList_Merge      gxImageList_Merge             
ImageList_Read      gxImageList_Read              
ImageList_Remove    gxImageList_Remove            
ImageList_Replace    gxImageList_Replace           
ImageList_ReplaceIcon    gxImageList_ReplaceIcon       
ImageList_SetBkColor    gxImageList_SetBkColor        
ImageList_SetDragCursorImage  gxImageList_SetDragCursorImage
ImageList_SetIconSize    gxImageList_SetIconSize       
ImageList_SetOverlayImage  gxImageList_SetOverlayImage   
ImageList_Write     gxImageList_Write        
GetObject             gxGetObject
GetObjectType         gxGetObjectType
BeginPaint     gxBeginPaint
EndPaint              gxEndPaint
SelectObject          gxSelectObject
ExtTextOutW           gxExtTextOutW
CreateSolidBrush      gxCreateSolidBrush
SetBkColor            gxSetBkColor
DeleteDC              gxDeleteDC
GetClipRgn            gxGetClipRgn
BitBlt                gxBitBlt
DeleteObject          gxDeleteObject
StretchBlt            gxStretchBlt
CreateCompatibleDC    gxCreateCompatibleDC
SetTextColor          gxSetTextColor
DPtoLP                gxDPtoLP
SelectClipRgn         gxSelectClipRgn
IntersectClipRect     gxIntersectClipRect
CreateRectRgn         gxCreateRectRgn
CreateRectRgnIndirect gxCreateRectRgnIndirect
GetTextExtentPointW   gxGetTextExtentPointW
SetWindowOrgEx        gxSetWindowOrgEx
CreateRectRgnIndirect gxCreateRectRgnIndirect
GetTextExtentPointW   gxGetTextExtentPointW
SetWindowOrgEx        gxSetWindowOrgEx
TextOutW              gxTextOutW
PatBlt                gxPatBlt
SetBkMode             gxSetBkMode
SetRectRgn            gxSetRectRgn
GetObjectW            gxGetObjectW
GetTextColor          gxGetTextColor
GetBkColor            gxGetBkColor
GetBkMode             gxGetBkMode
GetStockObject        gxGetStockObject
CreateFontIndirectW   gxCreateFontIndirectW
CombineRgn            gxCombineRgn 
GetTextMetricsW       gxGetTextMetricsW
GetClipBox            gxGetClipBox 
GetCurrentObject      gxGetCurrentObject 
GetTextExtentPoint32W gxGetTextExtentPoint32W
Rectangle             gxRectangle
MoveToEx              gxMoveToEx
LineTo                gxLineTo
SetViewportOrgEx      gxSetViewportOrgEx 
GetIconInfo           gxGetIconInfo
LoadImage             gxLoadImage
LoadIcon              gxLoadIcon
LoadCursor            gxLoadCursor 
GetParent             gxGetParent
IsWindowEnabled       gxIsWindowEnabled
FillRect              gxFillRect
DrawTextW             gxDrawTextW
FrameRect             gxFrameRect
DrawIconEx            gxDrawIconEx 
DrawEdge              gxDrawEdge
ReleaseDC             gxReleaseDC
